	AB	AB_2	AS	AS_2	D	D_2	N	N_2
N06_D2__17_27	522.3754375385	1422.94375702	9.3511239065	16.1351180145	18.1153803565	18.4224297005		
N06_D2__17_28	780.0161090705001	3108.0149013775	13.025513893500001	21.501217409	27.352546225	27.295323121		
N06_D2__17_29	2848.0084791605	2196.2694737455	45.1279895365	40.788290884	13.873318386	19.271637663		
N06_D2__17_4	1671.1689189249998	2675.1224095694997	44.2786885245	42.9001969405	15.8032786885	19.988462073999997		
N06_D2__17_5	1137.8578018105	1995.11604644	23.0114863115	27.681770954999998	22.506261334999998	21.534742689999998		
N06_D2__17_6	1416.088902597	2113.181950137	35.918460312	36.276628589	16.0517025395	17.732745796499998		
N06_D2__17_7	531.956934891	1159.0352781445	30.5346030545	27.526285047000002	6.2511785785	9.743439971		
N06_D2__17_8	1027.6300096329999	937.2916564740001	4.4504181605	5.0122369065	8.7266029475	11.0572687225		
N06_D2__17_9	184.10385596199998	217.4941386145	3.677893922	4.4556680545	12.722609369	13.375283876000001		
N06_D2__18_10	501.17748023900003	668.185704879	1.4422606825	1.4301323300000002	13.7430331475	13.008376836499998		
N06_D2__18_11	1410.2565861105	1859.9797452399998	1.714256988	2.9108700485	15.0965212145	13.6264795275		
N06_D2__18_12	248.78430005799999	458.57300122550004	3.1876321885	1.3294956139999998	12.5642058615	13.211473285499999		
N06_D2__18_13	1877.9937734784999	3833.265795965	4.0820390285000006	8.621093842	7.606531262500001	11.557305952		
N06_D2__18_14	136.7332877915	1680.3368126364999	3.6567744805	6.138973808499999	13.4544848285	12.813627475		
N06_D2__18_15	1347.7572019915	1199.629542607	16.797035817	12.013036420999999	13.3696994645	13.3521862635		
N06_D2__18_16	469.3816766925	1589.3786617275	4.298535664	6.492465534	16.656825697000002	13.882654697		
N06_D2__18_17	826.3286152135001	619.8259357320001	0.190010858	4.9892876269999995	12.2855591745	13.394483128000001		
N06_D2__18_18	1285.0941012199999	2701.5910124869997	9.861878453	8.849388379	12.3480662985	12.789427697499999		
N06_D2__18_19	984.66518159	1631.4396353625	3.739810531	8.0173508825	18.451200704999998	18.5832815325		
N06_D2__18_20	3924.4114317775	3481.9507485860004	27.1721958925	30.606515454500002	49.571202889	38.560429174999996		
N06_D2__18_21	861.3797186559999	779.4721755995001	19.233182731	16.417333787	12.343122489999999	14.148610639		
N06_D2__18_22	331.72959556650005	278.70201116249996	4.512183377	6.2135171245	19.729365309	35.778418548		
N06_D2__18_23	359.50064752850005	1610.0897074959998	27.233749735499998	22.277498502500002	10.687063307499999	12.300419346999998		
N06_D2__18_24	424.1522671075	1207.479805905	8.1276018975	11.709079635000002	2.735017911	10.232774452000001		
N06_D2__18_25	2424.1466374435004	1881.1406524440001	25.745757352	23.603261011	11.668599135500001	15.4533378485		
N06_D2__18_26	263.669530006	738.2115383415	12.6741665805	13.334828548499999	21.106409329999998	20.528060207		
